,artist,title,rating,url,chords,top_1,top_2,top_3
23,OneRepublic,GOOD LIFE,193.0,https://tabs.ultimate-guitar.com/o/onerepublic/good_life_ver3_crd.htm,G C Em C G C Em D G C Em D G C Em D G C Em D G C Em D G C Em D G C Em D G C Em D G C Em D G C Em D G C Em D G C Em D G C Em D G C Em D G G G G G C Em D G C Em D G C Em D G C Em D G C Em D G C Em D G,Em D,C Em,D G
24,Bruno Mars,THE LAZY SONG,806.0,https://tabs.ultimate-guitar.com/b/bruno_mars/the_lazy_song_ver2_crd_999755id_01112010date.htm,B F# E B F# E B F# E B D#7 E B F# E B F# E B F# E B F# E C#m D#m E F# B F# E B F# E B F# E B D#7 E B F# E B F# E B F# E B F# E B F# E B F# E C#m D#m E F# B F# E B F# E B F# E B D#7 E C#m F# G#m E F# G#m C#m F# G#m E F# G#m B F# E B F# E B F# E B D#7 E B F# E B F# E,C#m D#m,G#m C#m,B D#7
25,Britney Spears,TILL THE WORLD ENDS,15.0,https://tabs.ultimate-guitar.com/b/britney_spears/till_the_world_ends_ver3_crd_1047387id_15042011date.htm,Am C F. Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F Am C F,C F,C F.,F. Am
26,Lupe Fiasco,THE SHOW GOES ON,18.0,https://tabs.ultimate-guitar.com/l/lupe_fiasco/the_show_goes_on_ver2_crd.htm,G D Em Bm7 C D Am D G D Em D C D C D G D Em D C D C D G D Em D C D C D G D Em Bm7 C D Am D G D Em D C D C D G D Em D C C C D G D Em D C D C D G D Em D/B C D Am D G D Em D C D C D G D Em D C D C D G D Em Bm7 C D Am D,Em D/B,Em Bm7,D/B C
27,Lady Gaga,THE EDGE OF GLORY,153.0,https://tabs.ultimate-guitar.com/l/lady_gaga/edge_of_glory_ver3_crd.htm,G D C G D Em C G D C G D Em C Am C Am Em Am C Em D G D Em C G D Em C G D Em C G D Em C G G D C G D Em C G D C G D Em C Am C Am Em Am C Em D G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G D Em C G,G D,D Em,C G
28,Ke$ha,WE R WHO WE R,15.0,https://tabs.ultimate-guitar.com/k/keha/we_r_who_we_r_crd.htm,Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F,Dm C,C F,Am Dm
29,Wiz Khalifa,BLACK AND YELLOW,9.0,https://tabs.ultimate-guitar.com/w/wiz_khalifa/black_and_yellow_crd.htm,Dm Am Gm Dm Am Gm Dm Am Gm Dm Am Gm,Am Gm,Dm Am,Gm Dm
30,Hot Chelle Rae,TONIGHT TONIGHT,33.0,https://tabs.ultimate-guitar.com/h/hot_chelle_rae/tonight_tonight_crd.htm,G C D G G C D G G C D G G C D G G C D G G C D G G C D G G C D G G C D G G C D G G C D G G C D G G C D G G C D G G C D C G C D G G C D G G C D G G C D G G C D G G C D G G C D G G C D G G C D G G C D G C D G G C D G G C D G G C D C G C D G G C D G G C D G G C D G G C D G G C D G G C D G G C D G D,C D,G C,D G
31,Ke$ha,BLOW,7.0,https://tabs.ultimate-guitar.com/k/keha/blow_crd.htm,,,,
32,Bad Meets Evil Featuring Bruno Mars,LIGHTERS,3.0,https://tabs.ultimate-guitar.com/b/bad_meets_evil/lighters_crd_1086503id_24082011date.htm,C Em Am F C Em Am F C Em Am F F C Em Am G C Em Am F,C Em,Am G,G C
33,The Band Perry,IF I DIE YOUNG,577.0,https://tabs.ultimate-guitar.com/t/the_band_perry/if_i_die_young_ver2_crd.htm,G D A D6add9/A G D A D6add9/A G D A D6add9/A G D A G D A D6add9/A G D A D6add9/A G D A D6add9/A G D D6add9/A G D A D6add9/A G D A D6add9/A G D A D6add9/A G D A G D A D6add9/A G D A D6add9/A G D A D6add9/A G D A D6add9/A G D A G D A D6add9/A G D A G D A D6add9/A G D A D6add9/A G D A D6add9/A G D A D6add9/A G D A D6add9/A G D A D6add9/A G D A D6add9/A G D A D6add9/A G D A G D,A G,A D6add9/A,G D
34,Gym Class Heroes Featuring Adam Levine,STEREO HEARTS,318.0,https://tabs.ultimate-guitar.com/g/gym_class_heroes/stereo_hearts_ver2_crd.htm,,,,
35,The Black Eyed Peas,THE TIME (DIRTY BIT),10.0,https://tabs.ultimate-guitar.com/t/the_black_eyed_peas/the_time_dirty_bit_intro_crd.htm,D E Bm D E C#m D E C#m D,E Bm,E C#m,Bm D
